text1,text2,divergent or not divergent
"Steroid use in sports enhances competition and entertainment in sport, by enhancing athletes' abilities.",Legalising steroids will change the nature and focus of sports.,not divergent
"Steroid use in sports enhances competition and entertainment in sport, by enhancing athletes' abilities.",The side-effects of steroids may negatively affect how sports players behave.,not divergent
The purpose of sports is to find the limits of the human body.,Sports are about the 'natural' limits of the human body.,not divergent
"Constant improvements in research, technology and medicine blur the lines surrounding what is 'natural', 'legal', 'unnatural' or 'illegal'.",Sports are about the 'natural' limits of the human body.,not divergent
"Many sports have embraced technology in order to improve athletic performance, e.g. in cycling, modern bikes are far lighter and faster than their older contemporaries.","Competitions based on using technology (e.g. NASCAR) are predicated on everyone using the same technology, so that the only true differences are in the athletes themselves.",not divergent
"Many sports have embraced technology in order to improve athletic performance, e.g. in cycling, modern bikes are far lighter and faster than their older contemporaries.","The move towards e.g. lighter bikes is indicative of the fact that people find intrinsic value in going fast for its own sake, not just in comparison to their competitors.",not divergent
"While the origins of organized training may be to prepare for war, the idea of, for example, making everyone run as fast as possible for a certain arbitrary distance to see who won is designed solely for determining the fastest person.","There is a lot of debate about what sport is and what its purpose is. For example, sport was once linked with preparing people for war, a function it no longer holds for most modern societies.",not divergent
"Cheating is relative. If steroids were not against the rules, then it would not be cheating to use them.",Fans are turned off when they perceive players to be cheating.,not divergent
"Cheating is relative. If steroids were not against the rules, then it would not be cheating to use them.","What matters is the fan's perception of cheating, and these norms have already been well established.",not divergent
"Even though illegal, most doping regimens are done under the supervision of a doctor.",Steroids are used by athletes at doses that are 10-100 times higher than the recommended doses for prescription medical use.,not divergent
The total number of deaths caused by Covid-19 was well above the number of deaths caused by the influenza virus.,Excess deaths caused by Covid-19 were comparable to those caused by influenza during the severe phases of influenza epidemics.,divergent
Severe influenza epidemics are outliers and therefore mortality rates from such phases are not indicative of the usual mortality associated with influenza.,Excess deaths caused by Covid-19 were comparable to those caused by influenza during the severe phases of influenza epidemics.,divergent
"In the USA, the case fatality ratio (CFR) for flu was 0.1% (in 2018-2019), while CFR for Covid-19 was 1.44% (January 2022), and was 6.25% at its peak in May 2020. That is an order of magnitude difference.","The CFR was not constant. It changed with the context and reflected the situation in a particular context, at a particular time, in a particular population. Hence, it can't be compared with the flu CFR.",divergent
"Compared to the flu, the death rate for Covid-19 patients was very high.",Death rate for Covid-19 could not be accurately estimated due to inadequacies in data.,divergent
Having more people recover from a disease than die from it is not an indication of its severity.,Millions more people recovered from Covid-19 compared to those who died from it.,divergent
"At the beginning of the Covid-19 pandemic, only Italy (and Spain) reported extremely high death rates. They were the statistical outliers and did not represent the overall global condition.",They are the statistical outliers in large part because their uncontrolled outbreaks started earlier than elsewhere. They're better characterised as a leading indicator than an outlier.,divergent
"According to the parent claim, after Germany, Italy had done the most testing as of March 2020, with about 200,000 tests. Italy has 20 million less people than Germany, and it has a high ratio of tested per million Italians.","Germany started testing early and aggressively, resulting in a significantly greater rate of case detection, and in turn, better isolation of infected cases. As a result, due to better detection of cases in Germany, Italy passed 1000 cases on 1 March, while Germany still had just over 100 cases. This is why, despite when first cases were reported, Italy's uncontrolled outbreak started earlier than Germany's.",divergent
"As treatment of serious cases progressed, South Korea's fatality rate rose. In May 2020, it was at a peak of 2.39%. This is because it took a significant amount of time post-infection for the average Covid-19 fatality rate to rise.","Countries like South Korea didn't have a high death rate, despite having had a high infection rate early in the pandemic.",divergent
Many European countries that have highly ranked healthcare systems experienced great difficulties during the pandemic.,Covid-19 cases would be less likely to overwhelm health systems if the systems weren't already dysfunctional in many countries.,divergent
Many European countries that have highly ranked healthcare systems experienced great difficulties during the pandemic.,Countries that had strong public heath responses were able to contain Covid-19 infections relatively successfully.,divergent
Higher mortality rate among Covid-19 patients was seen even among those hospitalized in well-equipped units.,Higher mortality of Covid-19 could be due to medical constraints created by the sudden influx of patients over a short period of time.,divergent
A lack of consistency between countries did not diminish the severity of the virus overall.,The death rate for Covid-19 was not globally consistent.,not divergent
Global variances are to be expected since different governments respond to the pandemic differently.,The death rate for Covid-19 was not globally consistent.,not divergent
The 2018'19 seasonal influenza is not representative of all seasonal influenzas.,Excess deaths caused by Covid-19 were comparable to those caused by influenza during the severe phases of influenza epidemics.,not divergent
The death rate for Covid-19 among those aged 60+ was comparable to more serious diseases like SARS and typhoid.,"By contrast, death rates for children and teenagers with Covid-19 were hundreds or thousands of times lower than for the elderly.",not divergent
"In-hospital mortality was higher among younger patients with Covid-19 than among younger patients with influenza, even though children with Covid-19 were at a lower risk of hospitalisation for Covid-19.","By contrast, death rates for children and teenagers with Covid-19 were hundreds or thousands of times lower than for the elderly.",not divergent
"In the USA, the case fatality ratio (CFR) for flu was 0.1% (in 2018-2019), while CFR for Covid-19 was 1.44% (January 2022), and was 6.25% at its peak in May 2020. That is an order of magnitude difference.","CFR can be a poor measure of the mortality risk of the disease, ""When the number of actual cases and deaths is not known as is the case for COVID one has to be careful in interpreting the CFR.""",not divergent
"Compared to the flu, the death rate for Covid-19 patients was very high.",Death rates reduced dramatically after the Covid-19 vaccine was rolled out and administered.,not divergent
"Compared to the flu, the death rate for Covid-19 patients was very high.",Millions more people recovered from Covid-19 compared to those who died from it.,not divergent
"Compared to the flu, the death rate for Covid-19 patients was very high.",The death rate for Covid-19 was not globally consistent.,not divergent
"Compared to the flu, the death rate for Covid-19 patients was very high.",Higher mortality of Covid-19 could be due to medical constraints created by the sudden influx of patients over a short period of time.,not divergent
This does not undermine the validity of comparing CFR scores of flu and Covid-19 to determine which of these are more dangerous.,"CFR can be a poor measure of the mortality risk of the disease, ""When the number of actual cases and deaths is not known – as is the case for COVID – one has to be careful in interpreting the CFR.""",not divergent
"At the beginning of the Covid-19 pandemic, only Italy (and Spain) reported extremely high death rates. They were the statistical outliers and did not represent the overall global condition.",Taking the flu death average per day across several seasons and years gives a skewed picture and cannot be compared with a smaller Covid-19 time sample.,not divergent
"Germany had its first case on 27.01.2020, Spain had its first case on 31.01.2020, Italy had its first case on 31.01.2020. Despite Germany's early start, the country's death rate was much lower at the beginning of the pandemic.","Germany started testing early and aggressively, resulting in a significantly greater rate of case detection, and in turn, better isolation of infected cases. As a result, due to better detection of cases in Germany, Italy passed 1000 cases on 1 March, while Germany still had just over 100 cases. This is why, despite when first cases were reported, Italy's uncontrolled outbreak started earlier than Germany's.",not divergent
"Even if Covid-19 infection was mild for most people, when absolute numbers are considered, it was quite severe for many.",Millions more people recovered from Covid-19 compared to those who died from it.,not divergent
"At the beginning of the Covid-19 pandemic, only Italy (and Spain) reported extremely high death rates. They were the statistical outliers and did not represent the overall global condition.","In Italy, more people died from Covid-19 infections during the first wave of the pandemic than from the flu.",not divergent
"Even given the lower death rates in South Korea, Covid-19 was still a far more dangerous disease than the flu.","Countries like South Korea didn't have a high death rate, despite having had a high infection rate early in the pandemic.",not divergent
The vaccine against HPV has enormous health benefits and thus protects young girls from becoming sick later on in their lives.,"The claim that the HPV vaccine ""protects young girls from becoming sick later on in their lives"" presumably refers to the manufacturers' marketing claim that the vaccine prevents cervical cancer. However, while studies show the vaccine reduces infection of some strains of HPV, no studies have shown that the HPV vaccine actually reduces the risk of developing cervical cancer compared to routine screening alone.",divergent
"According to the WHO, two HPV vaccines, a bivalent and a quadrivalent vaccine, are highly efficacious in preventing the infection with the strains of HPV responsible for 70% of cervical cancer cases globally.",The FDA approved the HPV vaccine on the basis of clinical trials that were not properly designed to assess safety.,divergent
"According to the WHO, two HPV vaccines, a bivalent and a quadrivalent vaccine, are highly efficacious in preventing the infection with the strains of HPV responsible for 70% of cervical cancer cases globally.","The vaccine itself has not been studied for mutagenic effects. As Merck's package insert for Gardasil states, for example, ""GARDASIL has not been evaluated for the potential to cause carcinogenicity or genotoxicity.""",divergent
"The Food & Drug Administration (FDA) in the US has approved the vaccines Gardasil and Gardasil 9 for use in females ages 9 through 26 for the prevention of HPV-caused cervical, vulvar, vaginal, and anal cancers, as well as precancerous cervical, vulvar, vaginal, and anal lesions.",The vaccine received FDA approval despite the fact that no clinical studies were done demonstrating that Gardasil prevents cancer.,divergent
The HPV vaccine also protects against other types of cancer.,"To gain licensure, the HPV vaccine manufacturers were not required to and did not provide studies showing that the vaccine actually reduces the risk of cancer. Instead, the FDA used the surrogate marker of antibody titers against the target strains of HPV considered to be protective. As noted in the Journal of the National Cancer Institute in 2014, ""it may be many years before the effect on HPV vaccination on the incidence of cervical cancer can be assessed.""",divergent
"As the link observes, the cervical cancer vaccine targets the two types of HPV responsible for 70% of cervical cancers and precancerous lesions. It is precisely that ""small"" set of infections that the vaccine targets.",Only a small proportion of infections with certain types of HPV can persist and progress to cancer. Hence mandatory vaccination appears to be an excessive measure.,divergent
80% of cervical cancer cases occur in the developing world where the resources and infrastructure required to fully implement Pap tests are limited.,"Given the risks and side effects of the HPV vaccine, it should not be added to a cervical cancer prevention program when Pap screening has been proven safe and effective, particularly when the need for Pap screening is not eliminated by HPV vaccine administration.",divergent
"Pap screening is inherently a reactionary process - it does not prevent cervical cancer, only increase the chances of detecting it early enough to prevent death. Treatment at that point can still be invasive, and have serious side-effects, including harm to reproductive or sexual function.","Given the risks and side effects of the HPV vaccine, it should not be added to a cervical cancer prevention program when Pap screening has been proven safe and effective, particularly when the need for Pap screening is not eliminated by HPV vaccine administration.",divergent
"Once contracted, HPV could lead to cancer at any point in time, necessitating regular, deeply invasive, checks, which will not necessarily detect cancer in time.","A HPV infection can take years to result in cervical cancer. That leaves plenty of time for screening, treatment and prevention, eliminating the need for compulsory vaccinations.",divergent
There is no treatment for the virus itself although health problems caused by HPV can be treated. It is better to be vaccinated and avoid the infection than invest time and money in treating problems caused by it.,"The argument ""It is better..."" is strictly an opinion that others may disagree with. For example, one might consider the potential risk from the vaccine of its use of aluminum adjuvant, a known neurotoxin that scientists now know is persistent in the body and accumulates in the brain, and decide that routine pap smears are sufficient.",divergent
"Once the HPV virus enters the bloodstream, it cannot be eliminated. As the symptoms often don't appear in time for adequate treatment, a vaccination is the most effective way of dealing with the virus.",There are no studies showing that HPV vaccines are more effective at reducing the risk of cancer compared to routine pap smear screening.,divergent
Alternative methods of preventing HPV are ineffective.,"HPV is a sexually transmitted disease. As long as sexually active people use contraception (condoms) correctly, there is no need for compulsory vaccination.",divergent
Sexual intercourse is not the only way HPV can be transferred.,"Irrespective of protection, faithful and monogamous couples do not need to be concerned.",divergent
"The HPV vaccination is more effective at a younger age, except children do not know if they will end up working as a doctor or a nurse at that age. It makes sense, therefore, to vaccinate everyone.","Hospital staff can be infected by all kinds of diseases due to their job, so it makes sense to vaccinate them instead of the general public.",divergent
"In order to properly protect populations, vaccines require herd immunity. Even if hospital workers were most acutely at risk, this would be a bad way to protect them.","Hospital staff can be infected by all kinds of diseases due to their job, so it makes sense to vaccinate them instead of the general public.",divergent
"Faithful and monogamous individuals still need to be concerned of risks caused by their partners' behavior, which is beyond their control.","Irrespective of protection, faithful and monogamous couples do not need to be concerned.",divergent
"Hospital transmission of HPV, especially to surgical staff, has been documented.","HPV is a sexually transmitted disease. As long as sexually active people use contraception (condoms) correctly, there is no need for compulsory vaccination.",divergent
"Condoms do not completely protect from the virus because the areas around the genitals including the inner thigh area are not covered, thus exposing these areas to the infected person’s skin.","HPV is a sexually transmitted disease. As long as sexually active people use contraception (condoms) correctly, there is no need for compulsory vaccination.",divergent
Condoms can break or fail.,"HPV is a sexually transmitted disease. As long as sexually active people use contraception (condoms) correctly, there is no need for compulsory vaccination.",divergent
"The same study says that the exact effectiveness has 'not been fully elucidated', and that 'women having sexual contact with men who use condoms are still at risk of acquiring an infection, as condoms are not 100% protective'.",Condoms can still decrease the risk of transmission of HPV.,divergent
"Non-consensual sex may not afford a victim the capacity to insist on the use of a condom, thus exposing them to HPV and other sexually transmitted diseases.","HPV is a sexually transmitted disease. As long as sexually active people use contraception (condoms) correctly, there is no need for compulsory vaccination.",divergent
The vaccine against HPV has enormous health benefits and thus protects young girls from becoming sick later on in their lives.,"The vaccine has potential side effects, which range from more mild (pain at the injection site, fever and fainting) to adverse effects (anaphylaxis). It therefore should not be made compulsory.",not divergent
The vaccine against HPV has enormous health benefits and thus protects young girls from becoming sick later on in their lives.,One out of 100 women gets infected with the specific types of HPV that the vaccines are developed for. Hence mandatory vaccination appears to be an excessive measure.,not divergent
"According to the WHO, two HPV vaccines, a bivalent and a quadrivalent vaccine, are highly efficacious in preventing the infection with the strains of HPV responsible for 70% of cervical cancer cases globally.",Only a small proportion of infections with certain types of HPV can persist and progress to cancer. Hence mandatory vaccination appears to be an excessive measure.,not divergent
"Hospital transmission of HPV, especially to surgical staff, has been documented.","Hospital staff can be infected by all kinds of diseases due to their job, so it makes sense to vaccinate them instead of the general public.",not divergent
Vacccination programs do not obviate the need for risk-avoidant behavior. The two recommendations are not mutually exclusive.,"Irrespective of protection, faithful and monogamous couples do not need to be concerned.",not divergent
Condoms can break or fail.,Condoms can still decrease the risk of transmission of HPV.,not divergent
Many sexually active people don't use condoms correctly or at all.,"HPV is a sexually transmitted disease. As long as sexually active people use contraception (condoms) correctly, there is no need for compulsory vaccination.",not divergent
Secondhand smoke is damaging to the health of non-smokers.,No one is being forced to be around people while they smoke,divergent
Big business' commercialization of tobacco has resulted in marketing campaigns targeting children causing people to get addicted at young ages. Banning the sale but not the growth of tobacco would limit the widespread harm caused by tobacco and the industry.,Selling cigarettes to minors is already illegal basically everywhere and the health risks are clearly stated on each pack of cigarettes you can legally buy.,divergent
Some parents smoke in their homes exposing young children with nowhere else to go to second hand smoke.,"Cigarettes are banned in most enclosed spaces, and thus fairly easy to avoid.",divergent
In Austria it is legal to smoke in bars and restaurants.,"Cigarettes are banned in most enclosed spaces, and thus fairly easy to avoid.",divergent
Some parents smoke in their homes exposing young children with nowhere else to go to second hand smoke.,No one is being forced to be around people while they smoke,divergent
"When people smoke in public areas, it's often very difficult for those around them to avoid the second-hand smoke.",No one is being forced to be around people while they smoke,divergent
Many smokers smoke outside buildings. Upon leaving and entering that building one has to walk through that wall of smoke.,No one is being forced to be around people while they smoke,divergent
No one is to be forced to relocate themselves in order not to be affected by air pollution caused by a smoker's voluntary act.,No one is being forced to be around people while they smoke,divergent
Healthcare for smoking related illnesses becomes a burden on taxpayers and the insurance market.,"Statistically that may not be the case. Smokers generally don't live as long as the rest of the population, which means that they have less years in which to make health insurance claims. Therefore any burden they create is mitigated.",divergent
Healthcare for smoking related illnesses becomes a burden on taxpayers and the insurance market.,It only is a burden if the smoker chooses to not have healthcare.  Insurance companies need to be allowed to charge more for people who are shown through general physicals to be less healthy than the average based on poor health decisions (not genetics).  Only in conditions of immediate life threatening injury should a hospital be required to help and only under the condition of rehabilitation and health conscious support being given in return.,divergent
Healthcare for smoking related illnesses becomes a burden on taxpayers and the insurance market.,Through purchasing cigarettes smokers contribute more in tax than is needed to deal with the costs of their potential health issues.,divergent
"True, but for society it would be an overall benefit. Taxes on unhealthy products should not be meant to remain.",The government will lose billions in taxes if they were to ban cigarettes.,divergent
The medical procedures and cancer treatments they undergo during their life rack up enormous costs.,"Statistically that may not be the case. Smokers generally don't live as long as the rest of the population, which means that they have less years in which to make health insurance claims. Therefore any burden they create is mitigated.",divergent
Smoking is detrimental to the health of the smoker.,"Nicotine can also have helpful effects on the body, such as reducing depression and irritability, improving one's mood, and enhancing both short-term memory and concentration.",divergent
The proliferation of smoking advertising and product placement creates false information - true choice can only be made when informed.,Everyone should have the right to make their own decisions in regards to their health.,divergent
Secondhand smoke is damaging to the health of non-smokers.,"This is an argument for banning smoking in public areas unless all present have given consent, not a complete ban.",not divergent
In Austria it is legal to smoke in bars and restaurants.,"Not for much longer. It's been an ongoing dispute for several years, which now seems to settle towards prohibition.",not divergent
"When people smoke in public areas, it's often very difficult for those around them to avoid the second-hand smoke.","That is an argument for banning smoking in public areas, not for banning smoking",not divergent
Healthcare for smoking related illnesses becomes a burden on taxpayers and the insurance market.,"Alcohol is also a huge healthcare burden, including harming others as well as the consumers health. However there is never the same discussion around banning alcohol and its use is far more normalised.",not divergent
"The health costs are a burden on society. Uninsured patients drive up costs, and insured patients increase the cost of insurance for everyone.",The government will lose billions in taxes if they were to ban cigarettes.,not divergent
Cigarettes weigh heavily on the healthcare system.,The government will lose billions in taxes if they were to ban cigarettes.,not divergent
Smoking is addictive.,Many pain medications can be addictive but are not banned and are considered necessary for pain management,not divergent
Smoking is addictive.,Adults are traditionally allowed to do many things that contain risk or self harm. The most common approach is to ensure they are aware of the risks so they can make informed choices,not divergent
Smoking is addictive.,Banning cigarettes could lead to an increase in aggressive behaviour due to nicotine withdrawal.,not divergent
Masks can slow the spread of the virus so that countries are better able to manage the fallout from the pandemic.,Cloth masks do not significantly reduce the transmission of the virus.,divergent
Masks can slow the spread of the virus so that countries are better able to manage the fallout from the pandemic.,Wearing a mask will create a false sense of security.,divergent
Countries that have made mask-wearing mandatory have seen a slowing down of viral spread.,"Correlation does not imply causation. It is possible that viral slowdown in those countries is due to other factors such as testing, population density, prevalence of handwashing, or early use of lockdown.",divergent
"The Czech Republic, which implemented mandatory face masks on 19 March, has significantly slowed the spread of the virus compared to other European countries which have not introduced these measures.","As of January 2021, the Czech Republic has the second highest daily rate of COVID-19, and its crematoriums are becoming overwhelmed.",divergent
There is increasing evidence to support the claim that masks actually help reduce the spread and their presence do not merely correlate with a slower rate of spread.,"Correlation does not imply causation. It is possible that viral slowdown in those countries is due to other factors such as testing, population density, prevalence of handwashing, or early use of lockdown.",divergent
Having some protection is always better than no protection at all.,Cloth masks do not significantly reduce the transmission of the virus.,divergent
"When made in specific, medically-recommended ways, cloth-masks can be effective at reducing transmission.",Cloth masks do not significantly reduce the transmission of the virus.,divergent
"Though an expert in the field, Wang Guangfa's belief about how he contracted the virus is only based on anecdotal evidence. Therefore, it is not necessarily reliable.","Wang Guangfa, a respiratory specialist who became infected with COVID-19, believes he was infected through his eyes.",divergent
"Wearing a mask helps reduce the propensity for people to touch their faces, which is a source of infection, particularly for individuals who do not practice proper hand hygiene.",Masks will not prevent people from contracting or spreading the disease in other ways.,divergent
Public health institutions can communicate that the rate of infections are most effectively reduced when both social distancing and mask-wearing are carried out.,Trust in masks might encourage people to undervalue social-distancing rules.,divergent
Face masks can be used to complement social distancing.,Trust in masks might encourage people to undervalue social-distancing rules.,divergent
Having some protection is always better than no protection at all.,Cloth masks do not significantly reduce the transmission of the virus.,divergent
"Masks represent a visible reminder of an invisible pathogen. As such, they may remind people of the importance of social distancing and other health measures.",Wearing a mask will create a false sense of security.,divergent
"Masks represent a visible reminder of an invisible pathogen. As such, they may remind people of the importance of social distancing and other health measures.",The pandemic has drastically changed the lives of people throughout the world. Another reminder of the pathogen is not necessary.,divergent
Most people support making masks mandatory in public places.,People would not comply with a rule requiring them to wear masks.,divergent
"While most people are not qualified to influence public health policy directly, their support for such measures is useful for determining whether the public will actually obey them if introduced.",The majority of people supporting a policy is not a good reason to implement that policy.,divergent
"Convenience is only prioritised when the alternative has no large impact on them. If we made it mandatory, they will abide by it.",People are more likely to put the individual inconvenience of wearing a mask above the collective good.,divergent
Mask wearing can help protect the wearer from harmful pollutants in the atmosphere.,Many experts say that the only true way to protect the wearer from pollutants is to reduce pollution.,divergent
"The solution to prevent people from discarding masks in environmentally problematic manners is to encourage alternative means of disposal, not to abandon the policy of masks entirely.","In March 2020, masses of discarded masks washed up on a beach near Hong Kong, thereby polluting marine life.",not divergent
"Getting used to wearing masks can have positive side effects, such as preventing other diseases from spreading.",Masks cause acne on the face.,not divergent
The mandatory use of single-use masks would be temporary.,"Plastic masks take up to 450 years to decompose. Even if the wearing of them is temporary, their presence and environmental impact is not.",not divergent
There are known washable masks as alternatives to disposable masks to avoid harmful environmental effects.,"If people opt to wear disposable masks, this could increase pollution.",not divergent
Numerous outlets are describing how people can make their own DIY masks from what they have at home instead of using disposable ones.,"Home-made masks are being phased out by many countries, in favour of medical-grade masks.",not divergent
Wearing masks is particularly effective at stopping the spread of COVID-19.,Improper use and lack of knowledge about masks hinder the effectiveness of wearing masks.,not divergent
